Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0
Apartamento;Olaria;3;1;0;68;1000.0;670.0;
Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0
Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0
Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0
Apartamento;Praça Seca;2;0;0;80;1000.0;;
Apartamento;Olaria;2;1;0;53;1100.0;160.0;
Apartamento;Praça Seca;2;0;0;80;900.0;350.0;
Apartamento;Rocha Miranda;2;1;0;50;1100.0;;
Apartamento;Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0
Apartamento;Méier;2;0;0;56;899.0;402.0;135.0
Apartamento;Engenho Novo;2;2;0;78;800.0;915.0;55.0
Apartamento;Campo Grande;2;0;0;60;800.0;380.0;
Apartamento;Taquara;2;2;0;55;790.0;350.0;
Apartamento;Tomás Coelho;2;0;0;70;800.0;;
Apartamento;Água Santa;2;1;0;50;850.0;280.0;12.0
Apartamento;São Cristóvão;2;0;0;50;1000.0;600.0;
Apartamento;Olaria;2;0;0;90;1000.0;150.0;
Apartamento;Vila da Penha;2;0;0;60;900.0;160.0;25.0
Apartamento;Anil;2;1;0;48;1100.0;400.0;
Apartamento;Cachambi;3;0;0;70;900.0;200.0;30.0
Apartamento;Cachambi;2;1;0;70;950.0;530.0;30.0
Apartamento;Vaz Lobo;2;0;0;70;1000.0;32.0;
Apartamento;Madureira;2;0;0;40;600.0;415.0;
Apartamento;Campo Grande;2;0;1;58;1000.0;;
Apartamento;Praça Seca;3;0;0;90;900.0;330.0;15.0
Apartamento;Pechincha;2;1;0;64;800.0;248.0;14.0
Apartamento;Jacarepaguá;2;1;0;68;1100.0;540.0;
Apartamento;Irajá;2;1;0;65;1100.0;255.0;
Apartamento;Vila Isabel;2;1;0;70;1100.0;550.0;
Apartamento;Méier;2;1;0;62;1000.0;600.0;38.0
Apartamento;Taquara;2;1;0;53;1100.0;450.0;150.0
Apartamento;Penha;2;0;0;64;950.0;180.0;
Apartamento;Vargem Pequena;2;1;1;80;1100.0;650.0;
Apartamento;Quintino Bocaiúva;2;0;0;67;900.0;320.0;
Apartamento;Inhaúma;3;1;0;60;750.0;236.0;
Apartamento;Pechincha;2;1;0;65;950.0;640.0;126.0
Apartamento;Marechal Hermes;2;1;0;70;850.0;200.0;
Apartamento;Praça Seca;2;1;1;63;1100.0;361.0;
Apartamento;Piedade;2;1;0;83;950.0;;13.0
Apartamento;Pechincha;2;1;0;52;700.0;420.0;35.0
Apartamento;Freguesia (Jacarepaguá);2;1;0;55;1000.0;390.0;36.0
Apartamento;Água Santa;2;1;0;70;800.0;250.0;14.0
Apartamento;Itanhangá;2;1;1;58;900.0;500.0;212.0
Apartamento;Quintino Bocaiúva;2;0;0;80;900.0;170.0;
Apartamento;Andaraí;2;0;0;66;700.0;900.0;46.0
Apartamento;Pechincha;2;1;0;60;900.0;420.0;15.0
Apartamento;Cachambi;2;0;0;50;900.0;313.0;
Apartamento;Tijuca;2;1;0;88;1100.0;693.0;32.0
Apartamento;Lins de Vasconcelos;2;0;0;50;900.0;360.0;13.0
Apartamento;Campo Grande;2;1;0;70;750.0;330.0;
Apartamento;Camorim;2;1;0;48;1000.0;340.0;90.0
Apartamento;Cascadura;3;0;0;58;990.0;100.0;
Apartamento;Pechincha;2;1;1;61;1000.0;489.0;
Apartamento;Anil;2;1;0;46;1100.0;430.0;12.0
Apartamento;Méier;2;1;0;77;1000.0;925.0;
Apartamento;Barra da Tijuca;2;1;1;70;1150.0;1260.0;160.0
Apartamento;Campo Grande;2;1;0;50;1000.0;310.0;
Apartamento;Bonsucesso;2;0;0;61;1100.0;284.0;
Apartamento;Engenho de Dentro;2;1;0;66;1000.0;410.0;
Apartamento;Taquara;2;1;0;70;1000.0;500.0;
Apartamento;Pechincha;2;1;1;50;950.0;550.0;17.0
Apartamento;Inhoaíba;2;1;0;60;650.0;255.0;
Apartamento;Méier;3;1;0;100;1000.0;600.0;100.0
